Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,DayOfWeek,3_day_avg,7_day_avg,volatility,price_change,RSI,MACD,OBV
1.658,1.664667,1.581333,1.629333,1.629333,15165000,2010,11,5,4,1.580222,1.4933332857142856,0.0833339999999998,-0.030667,78.25500436913337,0.047836085645325266,-446167500.0
1.633333,1.666667,1.602,1.665333,1.665333,7642500,2010,11,8,0,1.6515553333333333,1.5294284285714286,0.06466699999999981,0.03600000000000003,81.56207626386204,0.059243181843460224,-438525000.0
1.666667,1.712667,1.603333,1.642,1.642,14346000,2010,11,9,1,1.6455553333333333,1.5559998571428568,0.10933400000000004,-0.023333000000000048,76.32277048168744,0.06564390756173188,-452871000.0
1.632,1.998,1.603333,1.957333,1.957333,45907500,2010,11,10,2,1.7548886666666668,1.631714142857143,0.3946670000000001,0.3153330000000001,85.31586162088729,0.09506541167078542,-406963500.0
1.906667,1.94,1.822,1.869333,1.869333,29179500,2010,11,11,3,1.8228886666666666,1.6963807142857144,0.11799999999999988,-0.08800000000000008,77.15135545352776,0.11001313811895241,-436143000.0
1.883333,2.033333,1.871333,1.989333,1.989333,40936500,2010,11,12,4,1.9386663333333332,1.7732378571428569,0.16199999999999992,0.1200000000000001,79.66997987126719,0.1300432584060469,-395206500.0
2.014667,2.196,2.014667,2.053333,2.053333,39343500,2010,11,15,0,1.9706663333333332,1.8294282857142856,0.18133299999999997,0.06399999999999983,80.25642332348394,0.14935981124173558,-355863000.0
2.066667,2.093333,1.894667,1.978,1.978,20214000,2010,11,16,1,2.0068886666666668,1.8792378571428572,0.1986659999999998,-0.07533299999999987,76.48140071032464,0.15678228641224123,-376077000.0
2.013333,2.05,1.907333,1.966,1.966,11250000,2010,11,17,2,1.999111,1.9221902857142854,0.14266699999999988,-0.01200000000000001,75.36677164848969,0.15985365828187104,-387327000.0
2.044667,2.049333,1.928,1.992667,1.992667,14341500,2010,11,18,3,1.978889,1.9722855714285714,0.12133299999999991,0.026666999999999996,74.98452046975834,0.16256559170358242,-372985500.0
2.010667,2.091333,1.98,2.066,2.066,17257500,2010,11,19,4,2.0082223333333333,1.9878094285714287,0.11133300000000013,0.07333299999999987,78.54594539026428,0.16868765245616424,-355728000.0
2.104667,2.23,2.1,2.226667,2.226667,22945500,2010,11,22,0,2.095111333333333,2.0388571428571427,0.1299999999999999,0.16066700000000012,81.92329580835303,0.1843785131317639,-332782500.0
2.219333,2.378667,2.146,2.304667,2.304667,23667000,2010,11,23,1,2.199111333333333,2.083904857142857,0.23266700000000018,0.07799999999999985,82.5203506097561,0.20079296507838174,-309115500.0
2.351333,2.398,2.288667,2.364667,2.364667,21375000,2010,11,24,2,2.298667,2.1283811428571426,0.10933300000000035,0.06000000000000005,80.28655595603323,0.21615137654563643,-287740500.0
2.373333,2.4,2.316667,2.354667,2.354667,5259000,2010,11,26,4,2.341333666666667,2.1821907142857144,0.0833330000000001,-0.009999999999999787,81.73867079269009,0.22492333565478861,-292999500.0
2.360667,2.396667,2.222,2.288667,2.288667,17184000,2010,11,29,0,2.3360003333333332,2.228286,0.1746669999999999,-0.06600000000000028,76.57764444436864,0.2239677670291409,-310183500.0
